id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_1892fa6a63d83ba962e9,Linz AG - Verwaltungsgebäude Bereich Abfall,Nebingerstraße 4,4020,Linz,Lifepak CR2 WLAN,Eingangsbereich Verwaltung,48.29769400000000,14.32481300000000,48.29769400000000,14.32481300000000,plausibel
defi_883d5f272b3b27ef58ee,Klose & Bürscher Haustechnik GmbH,Neubauzeile 57,4030,Linz,Heartstart HS1,Im Innenhof an der Gebäudefront außen,48.24609000000000,14.28670400000000,48.24609000000000,14.28670400000000,plausibel
defi_eb90023ec84085c419b4,Energie AG,Neubauzeile 99,4020,Linz,Lifepak CR+,"Linz, Neubauzeile, Empfang, Servicecenter",48.24203300000000,14.28013300000000,48.24203300000000,14.28013300000000,plausibel
defi_857ef7ac6ab459e898f7,"Landespolizeidirektion Oberösterreich, LKA OÖ, EGS",Nietzschestraße 33,4020,Linz,Heartstart HS1,,48.30674000000000,14.30547000000000,48.30674000000000,14.30547000000000,plausibel
defi_857ef7ac6ab459e898f7_2,"Landespolizeidirektion Oberösterreich, LKA OÖ, EGS",Nietzschestraße 33,4020,Linz,Heartstart HS1,,48.30674000000000,14.30547000000000,48.30674000000000,14.30547000000000,plausibel
defi_857ef7ac6ab459e898f7_3,"Landespolizeidirektion Oberösterreich, LKA OÖ, EGS",Nietzschestraße 33,4020,Linz,Heartstart HS1,,48.30674000000000,14.30547000000000,48.30674000000000,14.30547000000000,plausibel
defi_857ef7ac6ab459e898f7_4,"Landespolizeidirektion Oberösterreich, LKA OÖ, EGS",Nietzschestraße 33,4020,Linz,Heartstart HS1,,48.30674000000000,14.30547000000000,48.30674000000000,14.30547000000000,plausibel
defi_857ef7ac6ab459e898f7_5,"Landespolizeidirektion Oberösterreich, LKA OÖ, EGS",Nietzschestraße 33,4020,Linz,Heartstart HS1,,48.30674000000000,14.30547000000000,48.30674000000000,14.30547000000000,plausibel
defi_857ef7ac6ab459e898f7_6,"Landespolizeidirektion Oberösterreich, LKA OÖ, EGS",Nietzschestraße 33,4020,Linz,Heartstart HS1,,48.30674000000000,14.30547000000000,48.30674000000000,14.30547000000000,plausibel
defi_72cc3c96c05be7f2cbf1,"Landespolizeidirektion Oberösterreich, Sonderdienste",Nietzschestraße 33,4020,Linz,Fred Easy,Sektor II,48.30607000000000,14.30578000000000,48.30607000000000,14.30578000000000,plausibel
