id,quell_id,name,katastralgemeinde,beschreibung,detail_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum,heutiger_strassenname,benennung_code,jahr_benennung,jahr_loeschung
strasse_historisch_1994,1994,Kapuzinerfeld,Linz,"Bezeichnung um 1800, ab 1825 für das Teilstück bis zur Guglauffahrt, heute Hopfengasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1994&hist=historisch,,,,,,,,,,Hopfengasse,X,um 1800,
strasse_historisch_1995,1995,Kapuzinerfeldgasse,Linz,"Von 1730 bis 1869 Bezeichnung für die heutige Baumbachstraße, Mittlere- und Äußere Kapuzinerfeldgasse für die heutige Stifterstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1995&hist=historisch,,,,,,,,,,Baumbachstraße,X,1730,1969
strasse_historisch_1996,1996,Kapuzinergasse,Linz,"Bezeichnung von 1730 bis 1800, ab 1781 auch als Nußbaumgasse bezeichnet, heute Steingasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=1996&hist=historisch,,,,,,,,,,Steingasse,X,1730,1800
strasse_historisch_2001,2001,Karl-Marx-Straße,Urfahr,"Von 1921 bis 1934 nach dem deutschen Philosophen und Politiker Karl Marx (1818-1883), heute Rudolfstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2001&hist=historisch,Karl Marx,Q9061,,https://www.wikidata.org/wiki/Q9061,Karl Marx,male,economist,1818-05-05,1883-03-14,Rudolfstraße,M,1921,1934
strasse_historisch_2006,2006,Kaserngäßchen,Linz,"Bezeichnung vor 1869 nach der zwischen 1786 und 1869 im Gebäude der heutigen Post- und Telegraphendirektion untergebrachten Kaserne, heute Kollegiumgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2006&hist=historisch,,,,,,,,,,Kollegiumgasse,X,,1869
strasse_historisch_2020,2020,Keplerstraße,Linz und Waldegg,"Von 1869 bis 1943 nach dem Astronomen Johannes Kepler (1571-1630), heute Lederergasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2020&hist=historisch,Johannes Kepler,Q8963,,https://www.wikidata.org/wiki/Q8963,Johannes Kepler,male,naturalist,1571-12-27,1630-11-15,Lederergasse,M,1869,1943
strasse_historisch_2021,2021,Keplingerstraße,Urfahr,"Benannt 1942 nach dem Ritterkreuzträger des Zweiten Weltkrieges SS-Obersturmführer Rudolf Keplinger, heute Roth-Limanowa-Straße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2021&hist=historisch,Rudolf Keplinger,,,,,,,,,Roth-Limanowa-Straße,M,1942,
strasse_historisch_2023,2023,Kerschbaumerstraße,Waldegg,"Von 1940 bis 1945 nach Franz Kerschbaumer, der beim nationalsozialistischen Juliputsch 1934 ums Leben kam, heute Waldingerstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2023&hist=historisch,Franz Kerschbaumer,,,,,,,,,Waldingerstraße,M,1940,1945
strasse_historisch_2025,2025,Khiel,Linz,Vermutlich Bezeichnung im Spätmittelalter für die schmale Gasse zwischen den bis zum Jahr 1939 bestandenen Häusern Badgasse 6 und 14,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2025&hist=historisch,,,,,,,,,,Badgasse,X,Spätmittelalter,1939
strasse_historisch_2029,2029,Kinderspitalstraße,Lustenau,"Von 1913 bis 1976 nach dem ehemaligen Isabellen-Kinderspital, heute Wüstenrotstraße (siehe auch aktuelle Straßennamen)",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=2029&hist=historisch,,,,,,,,,,Wüstenrotstraße,X,1913,1976
