id,quell_id,name,katastralgemeinde,beschreibung,detail_url,strasse_wikidata_id,strasse_wikidata_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum
strasse_2564,2564,Nelkenweg,Waldegg,Nach dem Objekt Edelweißberg 30 etwa in nordnordwestlicher Richtung verlaufende Sackgasse. Benannt 1958 nach der einheimischen Blumenart.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2564,,,,,,,,,,,
strasse_2565,2565,Nestroystraße,Urfahr,Nach dem Objekt Freistädter Straße 20 etwa in südöstlicher Richtung zur Schmiedegasse verlaufend. Benannt 1958 nach dem Dichter und Schauspieler Johann Nestroy (1801-1862).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2565,,,Johann Nestroy,Q44862,,https://www.wikidata.org/wiki/Q44862,Johann Nestroy,male,writer,1801-12-07,1862-05-25
strasse_2566,2566,Neubauzeile,Kleinmünchen,Beim Objekt Flötzerweg 90 etwa in westsüdwestlicher bzw. südwestlicher Richtung zur Stadtgrenze mit Traun verlaufend. Benannt 1954 nach den dort aufgeführten Neubauten. - Vorher inoffiziell Zöhrdorferstraße nach dem gleichnamigen Bauernhof.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2566,,,,,,,,,,,
strasse_2576,2576,Neufahrergasse,Katzbach,"Nach dem Objekt Leonfeldner Straße 257 vorerst in westlicher, dann in südlicher und östlicher Richtung zurück zur Leonfeldner Straße verlaufend. Benannt 1960 nach dem im 16. Jahrhundert in Linz wirkenden Medailleur Ludwig Neufahrer.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2576,,,Ludwig Neufahrer,Q60843512,,https://www.wikidata.org/wiki/Q60843512,Ludwig Neufarer,male,goldsmith,1500-01-01,1563-01-01
strasse_2577,2577,Neufelderstraße,"Ufer, Posch","Beim Bahndurchlaß am Ende des Panholzerwegs beginnend, vorerst etwa in nördlicher, dann in östlicher und südöstlicher Richtung zur Traundorfer Straße verlaufend. Benannt 1954 nach einem Flurnamen.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2577,,,,,,,,,,,
strasse_2578,2578,Neugasse,Urfahr,Nach dem Objekt Bernaschekplatz 6 etwa in südwestlicher Richtung zur Kreuzstraße verlaufend. Benannt 1875. Die Bezeichnung ist als neue Gasse zu deuten.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2578,,,,,,,,,,,
strasse_2583,2583,Neuhoferstraße,Kleinmünchen,Nach dem Objekt 140 Hausleitnerweg 25 etwa in südsüdöstlicher bzw. südlicher Richtung zum Angerholzerweg verlaufend. Benannt 1951 nach dem Linzer Komponisten und Musiklehrer Franz Neuhofer (1870-1949).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2583,,,Franz Neuhofer,Q1442129,,https://www.wikidata.org/wiki/Q1442129,Franz Neuhofer,male,composer,1870-09-08,1949-11-15
strasse_2586,2586,Neutorgasse,Linz,Vor dem Objekt Zollamtstraße 16 etwa in südsüdöstlicher Richtung zum Pfarrplatz verlaufend. Schon vor 1869 so bezeichnet. - Früher Froschtorgasse nach der vorgelagerten Froschau. Auch einbezogen in die Neue Welt.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2586,,,,,,,,,,,
strasse_2588,2588,Niedermayrweg,Katzbach,Nach dem Objekt Johann-Wilhelm-Klein-Straße 4 etwa in östlicher Richtung verlaufende Sackgasse. Benannt 1958 nach dem gleichnamigen Bauernhaus.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2588,,,,,,,,,,,
strasse_2589,2589,Niedernharter Straße,Waldegg,"Nach dem Objekt Wankmüllerhofstraße 28 etwa in westsüdwestlicher bzw. westlicher Richtung zur Hanuschstraße verlaufend. Benannt 1954. Der Name ""Hart"" bedeutet Wald, Weidewald.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=2589,,,,,,,,,,,
